Nombre_de_la_fuente,Tema,Subtema,Subtema_especifico,Tipo_de_fuente,Año_referencia,Tipo,Nivel_de_desagregación,URL,Institucion,Cont_inf_indigena,Notas,categoria
Censos y conteos de Población y Vivienda (CPV),"Educación,Hogares y Vivienda","Características educativas de la poblacion, Hogares,Vivienda",Características de los hogares,Censo,2000,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/ccpv/2000/#microdatos,INEGI,"HLI (con y sin español), autoadscripción indígena (cuestionario ampliado)",HLI (preg. 12) y autoadscripción indígena (preg. 20) en cuestionario ampliado; básico solo captura HLI. Primera aparición de autoadscripción en CPV. Tabulados básicos: 4 cuadros LI1-LI4 por entidad (XLSX). Tabulados ampliados: 3 cuadros por tamaño de localidad incluyendo cruce HLI-autoadscripción (XLSX). Microdatos y datos abiertos disponibles.,Demografía y Sociedad
Censos y conteos de Población y Vivienda (CPV),"Educación,Hogares y Vivienda","Características educativas de la poblacion, Hogares,Vivienda",Características de los hogares,Conteo,2005,Especial,Nacional > Estatal,https://www.inegi.org.mx/programas/ccpv/2005/#microdatos,INEGI,"HLI (con y sin español), hogares indígenas","HLI (preg. 3.6, cuestionario básico) para personas 5+; sin autoadscripción. Tabulados > Lengua indígena (XLSX): LI1-LI3 por entidad/lengua/edad/sexo, LI4 para población en hogares indígenas por entidad. Microdatos disponibles: muestra 10%. Datos abiertos disponibles",Demografía y Sociedad
Censos y conteos de Población y Vivienda (CPV),"Educación,Hogares y Vivienda","Características educativas de la poblacion, Hogares,Vivienda",Características de los hogares,Censo,2010,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/ccpv/2010/#microdatos,INEGI,"HLI (con y sin español), 3+ años; comprensión de LI y autoadscripción étnica (ampliado); uso de LI en localidad","HLI (preg. 8–10, básico; preg. 12–14, ampliado) para personas 3+. Ampliado agrega comprensión de LI (preg. 15) y autoadscripción étnica (preg. 16: ""se considera indígena""). Cuestionario de localidad captura uso de LI en contextos (escuela, hogar, iglesia, etc.). Tabulados básicos: 8+ cuadros por entidad/lengua/edad/sexo con catálogos INEGI e INALI. Tabulados ampliados: autoadscripción y comprensión de LI en entidades seleccionadas. Microdatos y datos abiertos disponibles.",Demografía y Sociedad
Censos y conteos de Población y Vivienda (CPV),"Educación,Hogares y Vivienda","Características educativas de la poblacion, Hogares,Vivienda",Características de los hogares,Censo,2020,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/ccpv/2020/#microdatos,INEGI,"HLI (con y sin español), 3+ años; autoadscripción indígena y afromexicana y comprensión de LI (ampliado); HLI en localidad y alojamientos de asistencia social","4 cuestionarios con info indígena: (1) Básico — HLI (preg. 6–8, 3+); (2) Ampliado — HLI (preg. 12–14), comprensión de LI (preg. 15) y autoadscripción indígena (preg. 16); (3) Localidad — HLI comunitaria y uso en 6 contextos (preg. 42–44); (4) Alojamientos de asistencia social — HLI de residentes (preg. 10) y trabajadores (preg. 6). Tabulados básicos en Etnicidad (XLSX): HLI, hogares indígenas y autoadscripción afromexicana por entidad y tamaño de localidad. Tabulados ampliados en Etnicidad (XLSX): autoadscripción indígena y comprensión de LI. Microdatos y datos abiertos disponibles.",Demografía y Sociedad
Encuesta Intercensal (EIC) ,Hogares y Vivienda,"Hogares, Vivienda",Características de los hogares,Encuesta ,2015,Especial,Nacional > Estatal,https://www.inegi.org.mx/programas/intercensal/2015/#microdatos,INEGI,"HLI (con y sin español),comprensión de LI + autoadscripción indígena, 3+ años","Autoadscripción indígena (preg. 10), HLI (preg. 13), lengua específica (preg. 14), habla español (preg. 15) y comprensión de LI (preg. 16) — personas 3+ años. 7 tabulados en pestaña Tabulados > Etnicidad (XLS): HLI con/sin español, por lengua (Catálogo INALI) y en hogares (0-2 años), comprensión de LI, autoadscripción indígena y afrodescendiente — todos por entidad. Microdatos y datos abiertos disponibles",Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2002,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/tradicional/2002/#microdatos,INEGI,,Serie anterior tradicional,Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2004,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/tradicional/2004/#microdatos,INEGI,,Serie anterior tradicional,Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2006,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/tradicional/2006/#microdatos,INEGI,,Serie anterior tradicional,Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2008,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/tradicional/2008/#microdatos,INEGI,,Serie anterior tradicional,Demografía y Sociedad
Encuesta Nacional de Ingresos y Gastos de los Hogares Estacional (ENIGH),Hogares y Vivienda,Hogares,Ingresos y Gastos de los Hogares,Encuesta,2010,Regular,Nacional > Estatal,https://www.inegi.org.mx/programas/enigh/tradicional/2010/#microdatos,INEGI,,Serie anterior tradicional,Demografía y Sociedad
